0.00849,-0.04447,0.24937,0.21547,0.21280,0.05683
0.00941,-0.06240,20.4429,0.19486,0.18500,0.04893
0.22702,0.08202,40.1519,0.18500,0.13845,0.04170
0.44217,0.26213,39.8887,0.16742,0.10199,0.02947
0.66118,0.43515,40.1823,0.16922,0.07728,0.02045
0.87904,0.63842,40.7334,0.14054,0.05136,0.01335
1.06843,0.81715,40.8878,0.11645,0.04004,0.00876
1.29401,1.00738,40.8998,0.09904,0.02677,0.00594
1.51643,1.18665,40.9590,0.08039,0.01685,0.00418
1.75204,1.34821,40.7654,0.08643,0.01412,0.00342
1.94398,1.53013,40.8810,0.07527,0.01035,0.00286
2.15491,1.70029,40.8455,0.07013,0.00735,0.00248
2.34564,1.87978,40.8028,0.05829,0.00683,0.00260
2.54879,2.04980,40.6675,0.05810,0.00664,0.00204
2.75691,2.22036,40.6264,0.05785,0.00731,0.00212
2.96254,2.39331,40.5375,0.05426,0.00760,0.00177
3.14533,2.57092,40.8594,0.05800,0.00783,0.00167
3.36228,2.75353,40.9050,0.05217,0.00802,0.00155
3.53997,2.92744,41.1348,0.03996,0.00717,0.00154
