-0.00063,-0.06599,0.16393,0.22353,0.19284,0.05532
-0.00033,-0.08620,20.4517,0.19623,0.14358,0.03938
0.20884,0.06408,37.2977,0.18077,0.09566,0.02546
0.41905,0.24352,37.4455,0.15585,0.06230,0.01378
0.62299,0.41830,37.5829,0.13031,0.03670,0.00704
0.83181,0.58714,37.5874,0.11043,0.02219,0.00413
1.02702,0.74358,37.7186,0.08835,0.01574,0.00273
1.24123,0.90822,37.7828,0.07708,0.01151,0.00189
1.44885,1.06512,37.8331,0.07815,0.01122,0.00194
1.66279,1.21955,37.8219,0.07532,0.00559,0.00121
1.86947,1.37719,37.7866,0.07296,0.00455,0.00101
2.04194,1.53278,37.8043,0.07040,0.00355,0.00105
2.24052,1.68384,37.8477,0.10210,0.00413,0.00108
2.44603,1.83902,37.9555,0.08652,0.00402,0.00110
2.65944,2.00005,38.0944,0.08447,0.00391,0.00101
2.87282,2.15477,38.2416,0.05246,0.00395,0.00106
3.07880,2.31239,38.4737,0.04885,0.00354,0.00123
3.29232,2.46942,38.4596,0.04015,0.00362,0.00109
3.49569,2.62896,38.6315,0.04278,0.00331,0.00107
